,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
747,6.6227883,3.2967733,Shop,,Coca-Cola Pepsi American Cola La Casera Schweppes,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
748,6.62274,3.2968433,Shop,,Coca-Cola Pepsi 7Up Fanta American Cola,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
749,6.62262,3.2969633,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
750,6.6214883,3.2985967,Shop,,Coca-Cola Pepsi Fanta Sprite 7Up American Cola Teem Schweppes La Casera,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Well stocked
751,6.6214767,3.298625,Shop,,Bigi Coca-Cola Fanta Sprite Teem American Cola Pepsi,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
752,6.6192533,3.30028,Open market stall,,Pepsi Bigi Coca-Cola La Casera Schweppes American Cola,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
753,6.6186731,3.2994952,Shop,,Coca-Cola Pepsi American Cola Schweppes La Casera Sprite Fanta 7Up,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
754,6.6185033,3.299255,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite American Cola Mirinda Schweppes La Casera,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
755,6.6208633,3.2982833,Shop,,American Cola Fanta Coca-Cola Pepsi 7Up Schweppes La Casera,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
756,6.6564415,3.289741,Shop,,American Cola Fanta 7Up,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American Cola,Almost empty
757,6.6555224,3.2889393,Shop,,Coca-Cola American Cola La Casera Pepsi Fanta,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
758,6.6560325,3.2791895,Shop,,Coca-Cola La Casera,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
759,6.657246,3.2775825,Shop,,Coca-Cola Pepsi Fanta American Cola Bigi Sprite,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
760,6.6576032,3.2762372,Shop,,Coca-Cola American Cola La Casera Fanta Pepsi,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
761,6.6597454,3.2777406,Shop,,Pepsi 7Up Mirinda Others,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,Limca,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
762,6.6599929,3.2775413,Shop,,American Cola Pepsi Fanta La Casera,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
763,6.6603857,3.2774934,Shop,,American Cola Coca-Cola Pepsi 7Up Fanta La Casera,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
764,6.6602213,3.2773537,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
765,6.6609492,3.2767724,Shop,,Bigi Fanta American Cola Pepsi,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
766,6.6619645,3.2753093,Shop,,Coca-Cola Sprite Fanta 7Up Pepsi,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Partially stocked
767,6.6612686,3.2745624,Shop,,Coca-Cola Fanta Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
768,6.6609345,3.2743916,Shop,,Pepsi Coca-Cola Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
769,6.6606554,3.274215,Shop,,Pepsi Coca-Cola Mirinda 7Up,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl) PET bottle (50cl/1L),1,1,0,0,,All equal,,Almost empty
770,6.6592222,3.2742527,Shop,,American Cola 7Up Fanta Pepsi,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
771,6.6583782,3.2753491,Shop,,7Up Pepsi Coca-Cola,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Others,7up,Partially stocked
772,6.5517917,3.2677067,Shop,,Pepsi American Cola Teem,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
773,6.5517967,3.2670283,Shop,,Coca-Cola 7Up American Cola Fanta,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Partially stocked
774,6.5519336,3.2668863,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
775,6.5513583,3.2681517,Kiosk,,Coca-Cola American Cola Fanta Others,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Planet,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Partially stocked
776,6.5509517,3.2684467,Others,Open market space,Bigi American Cola Teem 7Up,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
777,6.5509933,3.26848,Others,Open market space,Pepsi Teem American Cola Bigi,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
778,6.5502601,3.2684382,Hawking,,Fanta Coca-Cola American Cola Others,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Lipton,Others,0,0,0,0,1,On the ground in a plastic basin on the ground,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
779,6.5500952,3.2686701,Hawking,,Coca-Cola Pepsi Bigi 7Up Fanta American Cola Teem Sprite La Casera,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On the head of a hawker,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
780,6.5497067,3.2695217,Hawking,,Coca-Cola Pepsi Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,Others,0,0,0,0,1,On display in a plastic basin on the ground,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
781,6.5491783,3.2698133,Open market stall,,Bigi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Partially stocked
782,6.5491799,3.2700931,Open market stall,,Coca-Cola Pepsi 7Up Bigi Fanta La Casera American Cola Teem,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
783,6.5495433,3.2695783,Open market stall,,Fanta Coca-Cola,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Partially stocked
784,6.5497062,3.2694528,Open market stall,,Coca-Cola Sprite Fanta,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
785,6.5498294,3.2671952,Hawking,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta American Cola Teem,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On a hawkers head,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
786,6.5488389,3.2677646,Hawking,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta La Casera American Cola Teem,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On display in a plastic basin on a wooden stool,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
787,6.5518967,3.2669833,Shop,,Pepsi Coca-Cola 7Up,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
788,6.54953,3.26806,Hawking,,Coca-Cola Pepsi Bigi 7Up Fanta Teem American Cola La Casera Sprite,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On display in a plastic basin on the ground,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
789,6.5481719,3.2668483,Shop,,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Almost empty
790,6.5487789,3.2676832,Open market stall,,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Not Applicable
791,6.5493433,3.26712,Kiosk,,Fanta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Not Applicable
792,6.5802135,3.2434621,Shop,,Coca-Cola Pepsi 7Up Sprite Fanta Others American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
793,6.5805365,3.2434341,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
794,6.5801659,3.2435159,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera American Cola Others,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
795,6.5792897,3.2432175,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera Schweppes Others American Cola,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
796,6.5791054,3.2430166,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite American Cola Others,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
797,6.579092,3.2430121,Shop,,Coca-Cola 7Up,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Partially stocked
798,6.5790967,3.2430183,Shop,,Coca-Cola 7Up Pepsi American Cola Others Sprite Fanta,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,Coca-Cola,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl) PET bottle (50cl/1L),1,1,0,0,,Coke,,Well stocked
799,6.57911,3.24301,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera Schweppes Fayrouz Mountain Dew American Cola Others,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,Coca-Cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
800,6.5791183,3.2430067,Shop,,Coca-Cola 7Up,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
801,6.5791331,3.2431205,Shop,,Coca-Cola 7Up Fanta Sprite American Cola Others,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
802,6.5791317,3.24312,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite La Casera American Cola Others Fayrouz Schweppes,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,Coca-Cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
803,6.579205,3.24309,Shop,,Coca-Cola Fanta Sprite La Casera,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
804,6.5791123,3.2430177,Shop,,Coca-Cola 7Up Fanta La Casera,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
805,6.5791133,3.2430167,Shop,,Coca-Cola Pepsi Fanta Teem Others,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,None,In refridgerator/cooler On display stand,0,1,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
806,6.5791517,3.24301,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
807,6.5791975,3.2430345,Shop,,Coca-Cola Pepsi 7Up American Cola Others,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
808,6.57665,3.276305,Shop,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta Sprite La Casera Schweppes Fayrouz Teem American Cola,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
809,6.574211,3.282231,Shop,,Pepsi American Cola Others,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Coke,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
810,6.574037,3.28213,Shop,,Coca-Cola Pepsi Fanta Sprite Teem American Cola,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Well stocked
811,6.573775,3.281803,Shop,,Coca-Cola Pepsi La Casera American Cola,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
812,6.573059,3.281948,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,In refridgerator/cooler,0,1,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
813,6.572537,3.283577,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera Teem American Cola,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
814,6.570515,3.283268,Shop,,Coca-Cola American Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
815,6.570542,3.280929,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite La Casera,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
816,6.57698,3.276634,Supermarket,,Coca-Cola Pepsi La Casera,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
817,6.574515,3.277893,Shop,,Coca-Cola Pepsi RC Cola 7Up Mirinda,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Partially stocked
818,6.571607,3.279408,Shop,,Coca-Cola Pepsi 7Up Fanta La Casera American Cola,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
819,6.571803,3.280035,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
820,6.571034,3.280614,Shop,,Coca-Cola Pepsi Sprite Teem American Cola,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
821,6.570597,3.280622,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
822,6.6812663,3.2691745,Kiosk,,Coca-Cola Pepsi Fanta American Cola,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
823,6.6786158,3.2691098,Supermarket,,Coca-Cola Fanta Others Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Pop,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Pop,Well stocked
824,6.6776903,3.2680739,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
825,6.6776967,3.268118,Kiosk,,Pepsi American Cola Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
826,6.6776467,3.2673221,Shop,,Coca-Cola Pepsi American Cola,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Almost empty
827,6.677538,3.2665933,Shop,,Coca-Cola Pepsi Bigi Fanta American Cola,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
828,6.6773583,3.26546,Shop,,Coca-Cola Pepsi Fanta 7Up Sprite Teem American Cola,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Well stocked
829,6.67706,3.26491,Shop,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
830,6.6770783,3.2646683,Shop,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Others,Fanta,Almost empty
831,6.6769683,3.2643233,Shop,,Pepsi Bigi American Cola Others,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,Big cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
832,6.67688,3.2636333,Shop,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
833,6.6771033,3.2633967,Shop,,Pepsi Fanta La Casera American Cola,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
834,6.6763983,3.2647433,Shop,,Pepsi Coca-Cola Bigi Fanta 7Up La Casera American Cola Mountain Dew Teem,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
835,6.6760617,3.2651317,Shop,,Coca-Cola Pepsi Sprite Fanta,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
836,6.6754,3.266475,Shop,,Pepsi Fanta La Casera Teem American Cola Others,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,Big cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
837,6.6755567,3.267005,Shop,,Coca-Cola Fanta Sprite Bigi Teem Others,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,Big cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
838,6.6752767,3.2671383,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
839,6.6467269,3.3050027,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
840,6.6466887,3.3045689,Shop,,Coca-Cola Bigi Fanta,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Partially stocked
841,6.6466115,3.3037998,Shop,,Coca-Cola Fanta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
842,6.6466383,3.3033896,Shop,,7Up Pepsi,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Partially stocked
843,6.6462932,3.3028628,Shop,,Coca-Cola Bigi Fanta Sprite,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
844,6.6462517,3.3028467,Kiosk,,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Partially stocked
845,6.6461767,3.301825,Shop,,Coca-Cola Bigi Fanta,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Partially stocked
846,6.6461267,3.3006667,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
847,6.64614,3.300005,Shop,,Coca-Cola Pepsi 7Up,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Well stocked
848,6.6463767,3.2999517,Shop,,Coca-Cola Fanta Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
849,6.6474016,3.2995655,Shop,,Coca-Cola Bigi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
850,6.6476985,3.2993657,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Partially stocked
851,6.6484237,3.2996241,Shop,,Coca-Cola Fanta Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
852,6.6485369,3.3002085,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
