,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
71,6.646596,3.298373,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
72,6.63514,3.25611,Hawking,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,Inside hawking bucket,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
73,6.646916,3.298661,Shop,,Coca-Cola Bigi Fanta American Cola,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Partially stocked
74,6.671121,3.268152,Shop,,Coca-Cola Fanta American Cola,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
75,6.64793,3.299017,Shop,,Coca-Cola 7Up Fanta,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
76,6.635037,3.255942,Hawking,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,Hawing bowl,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Well stocked
77,6.635083,3.25594,Others,Consumer,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,America cola,Not Applicable
78,6.648148,3.299375,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite Mirinda Teem,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,,On shelf/carton In refridgerator/cooler On display stand,1,1,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Well stocked
79,6.6481,3.299407,Shop,,Coca-Cola Bigi 7Up Fanta Teem American Cola,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,Coke,,Well stocked
80,6.648102,3.299335,Shop,,Coca-Cola Bigi 7Up Fanta,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Well stocked
